White Pawns,Black Pawns,White Knights,Black Knights,White Bishops,Black Bishops,White Rooks,Black Rooks,White Queens,Black Queens,Turn,Is Check,Full Move Number,Halfmove Clock,Total Legal Moves,Is Stalemate,Insufficient Material,Threefold Repetition,Fifty Move Rule,Label
8,8,2,2,2,2,2,2,1,1,0,0,1,1,20,0,0,0,0,0
8,8,2,2,2,2,2,2,1,1,1,0,2,0,20,0,0,0,0,1
8,8,2,2,2,2,2,2,1,1,0,0,2,0,21,0,0,0,0,0
8,8,2,2,2,2,2,2,1,1,1,0,3,0,20,0,0,0,0,1
8,8,2,2,2,2,2,2,1,1,0,0,3,1,28,0,0,0,0,0
8,8,2,2,2,2,2,2,1,1,1,0,4,2,25,0,0,0,0,1
8,8,2,2,2,2,2,2,1,1,0,0,4,3,31,0,0,0,0,0
8,8,2,2,2,2,2,2,1,1,1,0,5,4,27,0,0,0,0,0
8,8,2,2,2,1,2,2,1,1,0,0,5,0,27,0,0,0,0,0
8,8,2,2,2,1,2,2,1,1,1,0,6,1,23,0,0,0,0,0
8,8,2,2,2,1,2,2,1,1,0,0,6,0,30,0,0,0,0,0
8,8,2,2,2,1,2,2,1,1,1,0,7,0,24,0,0,0,0,0
8,8,2,2,2,1,2,2,1,1,0,0,7,1,28,0,0,0,0,0
8,8,2,2,2,1,2,2,1,1,1,0,8,2,26,0,0,0,0,0
8,8,2,2,2,1,2,2,1,1,0,0,8,3,26,0,0,0,0,0
8,8,2,2,2,1,2,2,1,1,1,0,9,0,24,0,0,0,0,0
8,8,2,2,2,1,2,2,1,1,0,0,9,1,30,0,0,0,0,0
8,8,2,2,2,1,2,2,1,1,1,0,10,0,26,0,0,0,0,0
8,8,2,2,2,1,2,2,1,1,0,0,10,0,34,0,0,0,0,0
8,8,2,2,2,1,2,2,1,1,1,0,11,1,27,0,0,0,0,0
8,8,2,2,2,1,2,2,1,1,0,0,11,2,33,0,0,0,0,0
8,8,2,2,2,1,2,2,1,1,1,0,12,3,31,0,0,0,0,0
8,8,2,2,2,1,2,2,1,1,0,0,12,4,35,0,0,0,0,0
8,8,2,2,2,1,2,2,1,1,1,0,13,5,28,0,0,0,0,0
8,8,2,2,2,1,2,2,1,1,0,0,13,0,35,0,0,0,0,0
8,8,2,2,2,1,2,2,1,1,1,0,14,1,35,0,0,0,0,0
8,8,2,2,2,1,2,2,1,1,0,0,14,0,37,0,0,0,0,0
8,8,2,2,2,1,2,2,1,1,1,0,15,0,35,0,0,0,0,0
8,8,2,2,2,1,2,2,1,1,0,0,15,1,40,0,0,0,0,0
8,8,2,2,2,1,2,2,1,1,1,0,16,2,35,0,0,0,0,0
8,8,2,2,2,1,2,2,1,1,0,1,16,3,6,0,0,0,0,0
8,8,1,2,2,1,2,2,1,1,1,0,17,0,35,0,0,0,0,0
8,8,1,2,2,1,2,2,1,1,0,0,17,0,38,0,0,0,0,0
8,8,1,2,2,1,2,2,1,1,1,0,18,1,32,0,0,0,0,0
8,8,1,2,2,1,2,2,1,1,0,0,18,2,37,0,0,0,0,0
8,8,1,2,2,1,2,2,1,1,1,0,19,0,36,0,0,0,0,0
8,8,1,2,2,1,2,2,1,1,0,0,19,1,36,0,0,0,0,0
8,8,1,2,2,1,2,2,1,1,1,0,20,2,36,0,0,0,0,0
8,7,1,2,2,1,2,2,1,1,0,0,20,0,37,0,0,0,0,0
8,7,1,2,2,1,2,2,1,1,1,0,21,1,37,0,0,0,0,0
8,7,1,2,2,1,2,2,1,1,0,0,21,2,38,0,0,0,0,0
8,7,1,2,2,1,2,2,1,1,1,0,22,3,37,0,0,0,0,0
8,7,1,2,2,1,2,2,1,1,0,0,22,4,34,0,0,0,0,0
8,7,1,2,2,1,2,2,1,1,1,0,23,5,36,0,0,0,0,0
8,7,1,2,2,1,2,2,1,1,0,0,23,6,35,0,0,0,0,0
8,7,1,2,2,1,2,2,1,1,1,0,24,0,38,0,0,0,0,0
8,7,1,2,2,1,2,2,1,1,0,0,24,1,35,0,0,0,0,1
8,7,1,2,2,1,2,2,1,1,1,0,25,2,42,0,0,0,0,0
8,7,1,2,2,1,2,2,1,1,0,0,25,3,36,0,0,0,0,0
8,7,1,2,2,1,2,2,1,1,1,0,26,4,38,0,0,0,0,0
8,7,1,2,2,1,2,2,1,1,0,0,26,5,35,0,0,0,0,0
8,7,1,2,2,1,2,2,1,1,1,0,27,6,40,0,0,0,0,0
8,7,1,1,2,1,2,2,1,1,0,1,27,0,3,0,0,0,0,0
8,7,1,1,2,1,2,2,1,1,1,0,28,1,41,0,0,0,0,0
8,7,1,1,2,1,2,2,1,1,0,0,28,2,31,0,0,0,0,0
8,7,1,1,1,1,2,2,1,1,1,0,29,0,33,0,0,0,0,0
8,6,1,1,1,1,2,2,1,1,0,0,29,0,35,0,0,0,0,0
8,6,1,1,1,1,2,2,1,1,1,0,30,1,33,0,0,0,0,0
8,6,1,1,1,1,2,2,1,1,0,0,30,0,34,0,0,0,0,0
8,6,1,1,1,1,2,2,1,1,1,0,31,1,31,0,0,0,0,0
8,6,1,1,1,1,2,2,1,1,0,0,31,2,37,0,0,0,0,0
8,6,1,1,1,1,2,2,1,1,1,0,32,3,32,0,0,0,0,0
8,6,1,1,1,1,2,2,1,1,0,0,32,0,34,0,0,0,0,0
8,6,1,1,1,1,2,2,1,1,1,0,33,1,35,0,0,0,0,0
8,6,1,1,1,1,2,2,1,1,0,0,33,2,32,0,0,0,0,0
8,6,1,1,1,1,2,2,1,1,1,0,34,3,36,0,0,0,0,0
8,6,1,1,1,1,2,2,1,1,0,0,34,4,32,0,0,0,0,0
8,6,1,1,1,1,2,2,1,1,1,0,35,5,37,0,0,0,0,0
8,6,1,1,1,1,2,2,1,1,0,0,35,6,39,0,0,0,0,0
8,6,1,1,1,1,2,2,1,1,1,0,36,7,35,0,0,0,0,0
8,6,1,1,1,1,2,2,1,1,0,0,36,0,34,0,0,0,0,0
8,6,1,1,1,1,2,2,1,1,1,0,37,1,32,0,0,0,0,0
8,6,1,1,1,1,2,2,1,1,0,0,37,2,34,0,0,0,0,0
8,6,1,1,1,1,2,2,0,1,1,0,38,0,26,0,0,0,0,0
8,6,1,1,1,1,2,2,0,1,0,0,38,1,34,0,0,0,0,0
8,6,1,1,1,1,2,2,0,1,1,0,39,2,26,0,0,0,0,0
8,6,1,1,1,1,2,2,0,1,0,0,39,0,39,0,0,0,0,0
8,6,1,1,1,1,2,2,0,1,1,0,40,1,34,0,0,0,0,0
8,6,1,1,1,1,2,2,0,1,0,0,40,2,36,0,0,0,0,0
7,6,1,1,1,1,2,2,0,1,1,1,41,0,3,0,0,0,0,0
7,6,1,1,1,1,2,1,0,1,0,0,41,0,29,0,0,0,0,0
6,6,1,1,1,1,2,1,0,1,1,0,42,0,32,0,0,0,0,0
